國文,英文,數學,地理,歷史
79,95,63,75,84
63,98,65,67,82
85,74,82,66,57
85,69,62,70,75
84,86,87,87,79
65,70,58,68,61
58,70,51,60,81
52,95,100,92,76
73,87,85,50,57
78,66,58,89,73
52,67,68,59,83
90,92,71,96,78
92,59,77,60,62
57,94,91,81,64
95,61,81,50,97
53,82,56,70,51
64,98,80,68,93
56,98,51,83,55
100,99,64,95,80
94,92,69,87,78
73,95,67,67,92
83,67,99,86,87
98,70,77,84,69
71,70,55,57,78
99,51,53,99,76
93,70,84,95,54
64,72,94,81,84
90,62,63,87,51
98,73,90,53,88
63,51,85,84,80
94,67,54,76,84
59,52,90,93,61
50,91,84,84,63
91,59,73,89,74
56,56,84,82,58
56,79,98,57,63
89,99,60,51,96
53,90,100,76,76
97,60,78,53,94
71,73,62,70,63
93,84,67,70,89
64,85,96,57,88
55,100,56,71,99
81,82,87,77,69
75,51,82,99,92
69,54,93,79,78
66,72,91,62,70
50,53,75,99,96
52,59,77,93,63
54,66,79,91,98
